"State_Name","District","Sub-District","Financial_Year","Month","Indicator_Code","Indicator_Name","Code_And_Section","Reported_Value_for_Public_Facility","Reported_Value_for_Private_Facility","Reported_Value_for_Rural","Reported_Value_for_Urban"
"Maharashtra","Ahmadnagar","Nevasa","2019-2020","April","8.17.1","Complications following male sterilization","M8 [Family Planning]","0","NA","0","NA"
"Maharashtra","Ahmadnagar","Nevasa","2019-2020","April","9.2.2","Child immunisation (9-11months) - Measles 1st dose","M9 [CHILD IMMUNISATION]","0","NA","0","NA"
"Maharashtra","Ahmadnagar","Parner","2019-2020","April","9.4.2","Child immunisation - Measles 2nd dose (More than 16 months)","M9 [CHILD IMMUNISATION]","0","NA","0","NA"
"Maharashtra","Ahmadnagar","Parner","2019-2020","April","14.7","Number of deaths occurring at Emergency Department","M14 [Patient Services]","0","NA","0","NA"
"Maharashtra","Ahmadnagar","Parner","2019-2020","April","15.3.3.b","Out of the above, number screened positive","M15 [Laboratory Testing]","0","NA","0","NA"
"Maharashtra","Ahmadnagar","Parner","2019-2020","April","16.3.3","Number of Infant Deaths (1 -12 months) due to Fever related","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Maharashtra","Ahmadnagar","Parner","2019-2020","April","16.7.2","Number of Adolscent / Adult deaths due to Tuberculosis","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Maharashtra","Ahmadnagar","Pathardi","2019-2020","April","8.6","Number of IUCD Removals","M8 [Family Planning]","17","NA","15","2"
"Maharashtra","Ahmadnagar","Pathardi","2019-2020","April","9.1.13","Child immunisation - Hepatitis-B0 (Birth Dose)","M9 [CHILD IMMUNISATION]","15","NA","15","0"
"Maharashtra","Ahmadnagar","Pathardi","2019-2020","April","10.8","Childhood Diseases - Acute Flaccid Paralysis(AFP)","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Pathardi","2019-2020","April","12.1.2.b","Out of registered, Boys received clinical services","M12 [Adolscent Health]","126","NA","74","52"
"Maharashtra","Ahmadnagar","Pathardi","2019-2020","April","14.3.3","Number of Left Against Medical Advice (LAMA) cases","M14 [Patient Services]","2","NA","0","2"
"Maharashtra","Ahmadnagar","Pathardi","2019-2020","April","16.7.8","Number of Adolscent / Adult deaths due to Neurological disease including strokes","M16 [Details of deaths reported with probable causes:]","4","NA","4","0"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","1.2.7","Number of PW received 4 or more ANC check ups","M1 [Ante Natal Care (ANC)]","460","NA","376","84"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","8.7","Number of complications following IUCD Insertion","M8 [Family Planning]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","9.1.3","Child immunisation - DPT1","M9 [CHILD IMMUNISATION]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","10.1","Childhood Diseases - Pneumonia","M10 [Number of cases of Childhood Diseases (0-5 years)]","2","NA","2","0"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","11.2.2","Kala Azar Positive Cases","M11 [NVBDCP]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","14.1.7","Outpatient - Ophthalmic Related","M14 [Patient Services]","224","NA","146","78"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","14.12.3","Outborn – Male","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","14.12.5","Number of newborns admitted in SNCU - referred by ASHA","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","15.3.4.c","Number of Female (Non ANC)STI/RTI attendees tested for syphilis","M15 [Laboratory Testing]","26","NA","16","10"
"Maharashtra","Ahmadnagar","Rahta","2019-2020","April","8.12","Number of Combined Oral Pill cycles distributed","M8 [Family Planning]","1134","NA","1117","17"
"Maharashtra","Ahmadnagar","Rahuri","2019-2020","April","6.4","Number of mothers provided 360 Calcium tablets after delivery","M6 [Post Natal Care (PNC)]","134","NA","126","8"
"Maharashtra","Ahmadnagar","Rahuri","2019-2020","April","15.3.4.b","Number of Male STI/RTI attendees found sero Positive for syphilis","M15 [Laboratory Testing]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Rahuri","2019-2020","April","16.3.1","Number of Infant Deaths (1 -12 months) due to Pneumonia","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Rahuri","2019-2020","April","16.4.5","Number of Child Deaths (1 -5 years) due to Others","M16 [Details of deaths reported with probable causes:]","4","NA","4","0"
"Maharashtra","Ahmadnagar","Rahuri","2019-2020","April","16.5.5","Number of Maternal Deaths due to Severe hypertesnion/fits","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Ahmadnagar","Sangamner","2019-2020","April","1.4.2","Number of PW having Hb level<11 (tested cases)(7.1 to 10.9)","M1 [Ante Natal Care (ANC)]","688","NA","596","92"
