"State_Name","District","Sub-District","Financial_Year","Month","Indicator_Code","Indicator_Name","Code_And_Section","Reported_Value_for_Public_Facility","Reported_Value_for_Private_Facility","Reported_Value_for_Rural","Reported_Value_for_Urban"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","9.1.12","Child immunisation - OPV3","M9 [CHILD IMMUNISATION]","155","NA","135","20"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","11.1.1.c","Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive","M11 [NVBDCP]","0","NA","0","0"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","14.12.5","Number of newborns admitted in SNCU - referred by ASHA","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","16.7.6","Number of Adolscent / Adult deaths due to Heart disease/Hypertension related","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","16.7.11","Number of Adolscent / Adult deaths due to Animal bites and stings","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","1.1","Total number of pregnant women registered for ANC","M1 [Ante Natal Care (ANC)]","244","NA","201","43"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","9.4.5","Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine","M9 [CHILD IMMUNISATION]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","14.1.2","Outpatient - Hypertension","M14 [Patient Services]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","1.6.1.a","Number of PW tested using POC test for Syphilis","M1 [Ante Natal Care (ANC)]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","2.1.1.a","Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM)","M2 [Deliveries]","2","NA","2","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","15.1","Number of Lab Tests done","M15 [Laboratory Testing]","8094","NA","8094","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","16.2.1","Infant Deaths up to 4 weeks due to Sepsis","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","8.15","Number of Emergency Contraceptive Pills (ECP) given","M8 [Family Planning]","12","NA","12","NA"
"Maharashtra","Buldana","Lonar","2019-2020","April","1.4.1","Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs","M1 [Ante Natal Care (ANC)]","178","NA","157","21"
"Maharashtra","Buldana","Lonar","2019-2020","April","1.5.2","Number of PW tested positive for GDM","M1 [Ante Natal Care (ANC)]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","4.1.1.b","Live Birth - Female","M4 [Pregnancy outcome & details of new-born]","9","NA","4","5"
"Maharashtra","Buldana","Lonar","2019-2020","April","5.1","Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)","M5 [Complicated Pregnancies]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","9.1.2","Child immunisation - BCG","M9 [CHILD IMMUNISATION]","155","NA","128","27"
"Maharashtra","Buldana","Lonar","2019-2020","April","13.1","Number of on-going DOTS patients registered","M13 [Directly Observed Treatment, Short-course (DOTS)]","22","NA","18","4"
"Maharashtra","Buldana","Lonar","2019-2020","April","15.3.3.a","Number of pregnant women screened for HIV","M15 [Laboratory Testing]","322","NA","235","87"
"Maharashtra","Buldana","Lonar","2019-2020","April","16.7.5","Number of Adolscent / Adult deaths due to HIV/AIDS","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","16.8.1","Number of Deaths due to Malaria- Plasmodium Vivax","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","8.2.4","Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted","M8 [Family Planning]","0","NA","0","0"
